NAME,L,R,ACC,AFC,AFC-LOAD,AFC-OVLD1,AFC-OVLD2,ANGLE,CUR.TIME,CUT.,CUTDATA,DIRECT.,DL,DOC,DR,DR2,DR2TABLE,INV-NR,KINEMATIC,LAST_USE,LBREAK,LCUTS,LIFTOFF,LTOL,NMAX,OVRTIME,P1,P2,P3,P4,P5,P6,P7,P8,PITCH,PLC,PLC-VAL,PTYP,R2,R2TOL,RBREAK,RT,RTOL,T-ANGLE,TIME1,TIME2,TL,TMAT,TP_NO,TT:L-OFFS,TT:R-OFFS,TYP
710631,163.097,5.81,0,,,,,7,0,0,0,-,+0,VHM-Schruppfraeser,+0,+0,,,,,0.8,0,N,0,25000,,80,+0,+0,0,0,0,0,163,0,0,+1,0,+0,0,0.4,,0,+0,0,0,,,,+0,R,0
713416,137.599,3.4,0,,,,,0.,0,0,0,-,+0,VHM-IKZ-Bohrer,+0,+0,,,,,1.24,0,N,0,25000,,80,35,+0,0,0,0,0,138,0,0,+1,0,+0,0,0.3,,0,+0,0,0,,,,+0,R,1
716068,146.034,5.0,0,,,,,0.,0,0,0,-,+0,NC-Anbohrer,+0,+0,,,,,2.98,0,N,0,20000,,80,+0,+0,0,0,0,0,146,0,0,+0,0,+0,0,0.4,,0,+0,0,0,,,,+0,R,1
716765,131.115,2.5,0,,,,,0.,0,0,0,-,+0,VHM-IKZ-Bohrer,+0,+0,,,,,0.91,0,N,0,25000,,80,45,+0,0,0,0,0,131,0,0,+1,0,+0,0,0.2,,0,+0,0,0,,,,+0,R,1
717096,151.636,4.75,0,,,,,0.,0,0,0,-,+0,VHM-IKZ-Bohrer,+0,+0,,,,,1.73,0,N,0,25000,,80,25,+0,0,0,0,0,152,0,0,+1,0,+0,0,0.3,,0,+0,0,0,,,,+0,R,1
720194,191.476,7.5,0,,,,,0.,0,0,0,-,+0,VHM-IKZ-Bohrer,+0,+0,,,,,2.73,0,N,0,25000,,80,20,+0,0,0,0,0,191,0,0,+1,0,+0,0,0.4,,0,+0,0,0,,,,+0,R,1
722786,172.514,5.528,0,,,,,12,0,0,0,-,+0,VHM-Schlichtfraeser,+0,+0,,,,,0.8,0,N,0,25000,,80,+0,+0,0,0,0,0,173,0,0,+1,0,+0,0,0.4,,0,+0,0,0,,,,+0,R,0
723106,126.796,3.883,0,,,,,7,0,0,0,-,+0,VHM-Schruppfraeser,+0,+0,,,,,0.6,0,N,0,25000,,80,+0,+0,0,0,0,0,127,0,0,+0,0,+0,0,0.3,,0,+0,0,0,,,,+0,R,0
737680,227.058,7.5,0,,,,,0.,0,0,0,-,+0,VHM-IKZ-Bohrer,+0,+0,,,,,2.73,0,N,0,25000,,80,25,+0,0,0,0,0,227,0,0,+1,0,+0,0,0.4,,0,+0,0,0,,,,+0,R,1
737898,117.052,3.112,0,,,,,0.,0,0,0,+,+0,Metrische-Gewindefra,+0,+0,,,,,0.6,0,N,0,20000,,80,+0,+0,0,0,0,0,117,0,0,+1,0,+0,0,0.3,,0,+0,0,0,,,,+0,R,0
738155,122.704,3.761,0,,,,,0.,0,0,0,+,+0,Metrische-Gewindefra,+0,+0,,,,,0.6,0,N,0,20000,,80,50,+0,0,0,0,0,123,0,0,+1,0,+0,0,0.3,,0,+0,0,0,,,,+0,R,0
748350,109.441,2.308,0,,,,,0.,0,0,0,+,+0,Metrische-Gewindefra,+0,+0,,,,,0.4,0,N,0,20000,,80,+0,+0,0,0,0,0,109,0,0,+0,0,+0,0,0.2,,0,+0,0,0,,,,+0,R,0
